cell	phenotype
T28_G4.S244	SMC
T28_G5.S135	SMC
T28_G5.S252	SMC
T28_H11.S184	SMC
T28_H3.S237	SMC
T28_H5.S136	SMC
T28_H5.S253	SMC
T4_A1.S118	SMC
T4_A11.S198	SMC
T4_A12.S206	SMC
T4_A2.S9	SMC
T4_A3.S134	SMC
T4_A5.S150	SMC
T4_A6.S158	SMC
T4_A6.S41	SMC
T4_A8.S174	SMC
T4_B11.S199	SMC
T4_B12.S90	SMC
T4_B14.S74	SMC
T4_B4.S26	SMC
T4_B5.S151	SMC
T4_B6.S159	SMC
T4_B9.S66	SMC
T4_C1.S120	SMC
T4_C10.S192	SMC
T4_C12.S91	SMC
T4_C3.S136	SMC
T4_C3.S19	SMC
T4_C5.S35	SMC
T4_C6.S160	SMC
T4_C6.S43	SMC
T4_C7.S168	SMC
T4_C8.S176	SMC
T4_C9.S67	SMC
T4_D1.S4	SMC
T4_D12.S209	SMC
T4_D14.S76	SMC
T4_D4.S145	SMC
T4_D7.S169	SMC
T4_D8.S177	SMC
T4_D9.S185	SMC
T4_E1.S122	SMC
T4_E1.S5	SMC
T4_E11.S202	SMC
T4_E2.S130	SMC
T4_E6.S162	SMC
T4_E6.S45	SMC
T4_E7.S53	SMC
T4_E8.S178	SMC
T4_E9.S69	SMC
T4_F11.S203	SMC
T4_F14.S78	SMC
T4_F3.S139	SMC
T4_F3.S22	SMC
T4_F4.S147	SMC
T4_F5.S155	SMC
T4_F5.S38	SMC
T4_F6.S46	SMC
T4_F7.S171	SMC
T4_F7.S54	SMC
T4_F8.S62	SMC
T4_F9.S187	SMC
T4_F9.S70	SMC
T4_G10.S196	SMC
T4_G11.S204	SMC
T4_G14.S79	SMC
T4_G2.S132	SMC
T4_G3.S140	SMC
T4_G4.S148	SMC
T4_G5.S156	SMC
T4_G8.S180	SMC
T4_G8.S63	SMC
T4_G9.S188	SMC
T4_G9.S71	SMC
T4_H1.S125	SMC
T4_H11.S205	SMC
T4_H11.S88	SMC
T4_H2.S133	SMC
T4_H2.S16	SMC
T4_H8.S181	SMC
Tres_A1.S310	SMC
Tres_A6.S350	SMC
Tres_B12.S282	SMC
Tres_B7.S242	SMC
Tres_C1.S195	SMC
Tres_C10.S384	SMC
Tres_C14.S267	SMC
Tres_C2.S320	SMC
Tres_C3.S211	SMC
Tres_C4.S219	SMC
Tres_C8.S251	SMC
Tres_D11.S109	SMC
Tres_D11.S276	SMC
Tres_D14.S268	SMC
Tres_D2.S321	SMC
Tres_D5.S345	SMC
Tres_D6.S353	SMC
Tres_E11.S108	SMC
Tres_E2.S322	SMC
Tres_F10.S115	SMC
Tres_F11.S278	SMC
Tres_F9.S262	SMC
Tres_G10.S114	SMC
Tres_G12.S98	SMC
Tres_G4.S340	SMC
Tres_G6.S356	SMC
Tres_G7.S364	SMC
Tres_G8.S372	SMC
Tres_H10.S113	SMC
Tres_H11.S105	SMC
Tres_H9.S264	SMC
lib1_AR_T28_1_B8.S307	MITFinterm_proliferative
T0_A1.S289	MITFinterm_proliferative
T0_A11.S81	MITFinterm_proliferative
T0_A12.S89	MITFinterm_proliferative
T0_A2.S297	MITFinterm_proliferative
T0_A3.S17	MITFinterm_proliferative
T0_A3.S305	MITFinterm_proliferative
T0_A4.S25	MITFinterm_proliferative
T0_A4.S313	MITFinterm_proliferative
T0_A6.S329	MITFinterm_proliferative
T0_A8.S345	MITFinterm_proliferative
T0_A8.S57	MITFinterm_proliferative
T0_B1.S2	MITFinterm_proliferative
T0_B1.S290	MITFinterm_proliferative
T0_B10.S362	MITFinterm_proliferative
T0_B10.S74	MITFinterm_proliferative
T0_B11.S82	MITFinterm_proliferative
T0_B12.S378	MITFinterm_proliferative
T0_B2.S10	MITFinterm_proliferative
T0_B3.S18	MITFinterm_proliferative
T0_B4.S26	MITFinterm_proliferative
T0_B4.S314	MITFinterm_proliferative
T0_B5.S34	MITFinterm_proliferative
T0_B6.S42	MITFinterm_proliferative
T0_B7.S338	MITFinterm_proliferative
T0_B7.S50	MITFinterm_proliferative
T0_B8.S346	MITFinterm_proliferative
T0_B9.S66	MITFinterm_proliferative
T0_C1.S3	MITFinterm_proliferative
T0_C11.S371	MITFinterm_proliferative
T0_C12.S91	MITFinterm_proliferative
T0_C2.S299	MITFinterm_proliferative
T0_C3.S19	MITFinterm_proliferative
T0_C6.S43	MITFinterm_proliferative
T0_C7.S339	MITFinterm_proliferative
T0_C8.S347	MITFinterm_proliferative
T0_C8.S59	MITFinterm_proliferative
T0_C9.S355	MITFinterm_proliferative
T0_D1.S292	MITFinterm_proliferative
T0_D11.S372	MITFinterm_proliferative
T0_D12.S92	MITFinterm_proliferative
T0_D2.S12	MITFinterm_proliferative
T0_D2.S300	MITFinterm_proliferative
T0_D3.S20	MITFinterm_proliferative
T0_D4.S316	MITFinterm_proliferative
T0_D7.S52	MITFinterm_proliferative
T0_D8.S60	MITFinterm_proliferative
T0_D9.S68	MITFinterm_proliferative
